"MutantName","Test1","Test2","Test3","Test4","Test5","Test6","Test7","Test8","Test9","Test10","Test11","Test12","Test13","Test14","Test15","Test16","Test17","Test18","Test19","Test20","Test21","Test22","Test23","Test24","Test25","Test26","Test27","Test28","Test29","Test30","MutantKilled?"
"DEAS1","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","No"
"DEAS2","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","No"
"DEAS3","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Fail","Fail","Pass","Pass","Yes"
"DEAS4","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Yes"
"DEAS5","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","No"
"DEAS6","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","No"
"DEAS7","Fail","Fail","Fail","Fail","Fail","Fail","Pass","Pass","Fail","Fail","Fail","Fail","Fail","Fail","Pass","Pass","Fail","Fail","Pass","Pass","Fail","Fail","Pass","Pass","Pass","Pass","Fail","Fail","Pass","Pass","Yes"
"DEAS8","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","No"
"DEAS9","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","No"
"DEAS10","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Pass","Pass","Fail","Fail","Pass","Pass","Pass","Pass","Fail","Fail","Pass","Pass","Fail","Fail","Yes"
"DEAS11","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","No"
"DEAS12","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Yes"
"DEAS13","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","No"
"DEAS14","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Pass","Pass","Fail","Fail","Pass","Pass","Pass","Pass","Fail","Fail","Pass","Pass","Pass","Pass","Yes"
"DEAS15","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Yes"
"DEAS16","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Pass","Pass","Fail","Fail","Pass","Pass","Pass","Pass","Fail","Fail","Pass","Pass","Yes"
"DEAS17","Pass","Pass","Pass","Pass","Fail","Fail","Pass","Pass","Fail","Fail","Fail","Fail","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Yes"
"DEAS18","Pass","Pass","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Yes"
"DEAS19","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Yes"
"DEAS20","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Yes"
"DEAS21","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Fail","Fail","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Yes"
